publisher,total_global_sales,game_count,avg_sales_per_game,median_sales_per_game,active_years,platform_count,genre_count,avg_market_share_pct,high_success_rate
Nintendo,1851.51,1734,2.1705861664712778,0.68,43,21,17,21.76748631728268,0.6553341148886284
Electronic Arts,1197.7,2254,0.8000668002672011,0.45,39,38,13,12.008691902682,0.5404141616566466
Activision,839.75,1674,0.7372695346795435,0.28,43,51,14,8.786057541663164,0.3933274802458297
Sony Computer Entertainment,670.99,1570,0.8152976913730255,0.33,26,14,16,7.630338323425247,0.43863912515188336
Ubisoft,541.28,1810,0.4602721088435374,0.17,33,39,16,6.542147687007619,0.28656462585034015
Take-Two Interactive,408.46,472,0.9455092592592592,0.28,23,22,12,4.644729673293483,0.42824074074074076
THQ,360.64,1153,0.45824650571791614,0.25,26,35,15,5.193135411223021,0.37229987293519695
Sega,318.4,2336,0.3826923076923077,0.17,42,49,15,4.56130344582974,0.26322115384615385
Konami Digital Entertainment,291.29,917,0.3344316877152698,0.14,34,35,14,3.0266299357446087,0.21239954075774972
Namco Bandai Games,273.3,1190,0.25880681818181817,0.12,38,30,15,3.30450248189194,0.17140151515151514
Microsoft Game Studios,248.44,295,1.2119024390243902,0.34,21,12,14,3.249104819576006,0.45365853658536587
Capcom,241.29,1144,0.4403102189781022,0.18,40,40,13,2.7173672575790393,0.2846715328467153
Atari,197.67,977,0.40506147540983606,0.17,42,30,13,12.176620446703069,0.3094262295081967
Warner Bros. Interactive Entertainment,197.23,412,0.6403571428571428,0.39,22,23,13,5.026981963931442,0.4967532467532468
Square Enix,191.84,767,0.5795770392749244,0.3,25,29,16,3.9579498938638658,0.4169184290030212
Disney Interactive Studios,124.23,348,0.5112345679012346,0.34,25,28,14,2.0610051198120924,0.4567901234567901
Eidos Interactive,114.14,399,0.445859375,0.14,16,19,13,1.97119548433098,0.28125
Bethesda Softworks,112.02,263,0.89616,0.41,32,19,11,2.7112760722951035,0.504
LucasArts,107.69,225,0.9615178571428571,0.49,28,26,10,1.4047896752416575,0.5803571428571429
EA Sports,95.8,339,1.2126582278481013,0.53,30,29,5,1.8588993741430397,0.5822784810126582
Midway Games,80.36,351,0.34341880341880343,0.18,20,24,13,1.522132786195612,0.28205128205128205
Acclaim Entertainment,77.83,541,0.3398689956331878,0.18,20,20,12,3.3257524856005594,0.21397379912663755
Tecmo Koei,65.76,507,0.1477752808988764,0.07,28,25,12,0.9104811270654417,0.07415730337078652
Konami,65.52,931,0.3701694915254237,0.11,41,37,16,0.9383584840640853,0.2598870056497175
505 Games,60.74,374,0.24296,0.09,21,27,13,0.9739456706800456,0.128
Vivendi Games,58.22,176,0.348622754491018,0.17,14,12,13,1.5455249205371377,0.2694610778443114
SquareSoft,58.13,55,1.0764814814814816,0.65,17,7,7,2.856452201695132,0.6481481481481481
Codemasters,54.01,329,0.27005,0.11499999999999999,33,29,11,0.6182309561859167,0.19
Virgin Interactive,47.25,245,0.7269230769230769,0.23,15,24,12,3.738052237997703,0.36923076923076925
Unknown,42.410000000000004,8943,0.13378548895899053,0.03,46,68,20,5.51424281560782,0.0946372239747634
Rockstar Games,39.339999999999996,105,1.7104347826086956,0.25,21,20,7,1.1297111035532337,0.43478260869565216
Enix Corporation,33.74,30,1.1246666666666667,0.655,14,7,5,1.8108583246550114,0.6
Deep Silver,31.060000000000002,259,0.18598802395209582,0.09,19,22,13,0.6632787728983027,0.10778443113772455
Atlus,30.29,388,0.15069651741293533,0.1,33,34,14,0.47980240195053114,0.05970149253731343
GT Interactive,29.81,151,0.5732692307692308,0.23,9,7,13,2.4555442220740815,0.34615384615384615
Hudson Soft,28.62,477,0.2751923076923077,0.125,29,29,12,0.8470384403693292,0.2403846153846154
MTV Games,28.25,52,0.6277777777777778,0.24,5,10,3,0.9014664123812312,0.4222222222222222
Namco,26.78,299,0.6531707317073171,0.23,28,25,14,1.0299178415300803,0.36585365853658536
D3Publisher,25.080000000000002,237,0.12174757281553399,0.06,17,16,14,0.3900602412445472,0.06796116504854369
Sony Computer Entertainment Europe,23.89,17,1.5926666666666667,1,6,4,6,1.9088180105306198,0.6666666666666666
Hasbro Interactive,21.69,69,0.9430434782608695,0.71,10,8,8,1.350635015953312,0.6086956521739131
Infogrames,18.46,220,0.23075,0.13,14,22,13,0.9088994261816238,0.1875
Rising Star Games,17.89,128,0.17368932038834953,0.08,16,15,13,0.339865866714946,0.13592233009708737
Universal Interactive,17.77,34,0.7404166666666666,0.45499999999999996,6,9,9,1.5737064269649264,0.5416666666666666
Banpresto,17.41,188,0.23527027027027028,0.16999999999999998,21,15,12,0.4736870431896394,0.17567567567567569
Natsume,16.94,131,0.2455072463768116,0.15,29,25,12,0.24136701365464572,0.2028985507246377
Level 5,16.68,66,0.417,0.21000000000000002,13,13,10,0.5276538202625489,0.375
Majesco Entertainment,16.14,99,0.16989473684210527,0.09,15,13,12,0.2925313361738233,0.08421052631578947
Sony Interactive Entertainment,15.6,148,0.4105263157894737,0.26,18,4,14,3.0176817234113433,0.34210526315789475
989 Studios,15.23,20,0.8958823529411765,0.48,4,2,3,2.22900276786351,0.8235294117647058
2K Sports,15.19,92,0.6076,0.15,18,19,3,1.5655934244817589,0.36
Bandai,15.18,461,0.3795,0.14500000000000002,29,21,13,0.5448921901947582,0.325
Crave Entertainment,14.93,145,0.1523469387755102,0.08,15,19,12,0.44511591749140444,0.061224489795918366
Nippon Ichi Software,14.93,180,0.10818840579710146,0.055,24,13,11,0.36923064267040595,0.057971014492753624
N/A,14.88,58,0.25655172413793104,0.125,8,11,12,0.6807325244471772,0.1724137931034483
Empire Interactive,13.41,120,0.2001492537313433,0.1,18,14,12,0.3016873642914691,0.14925373134328357
2K Games,13.28,160,0.3494736842105263,0.07,21,20,14,0.7912577463748502,0.21052631578947367
Zoo Digital Publishing,12.9,139,0.11944444444444445,0.07,8,8,12,0.4070337638110573,0.037037037037037035
Focus Home Interactive,12.21,207,0.11740384615384615,0.05,17,17,12,0.4592564088981114,0.057692307692307696
Microsoft Studios,12.11,127,0.7123529411764706,0.22,11,9,13,1.2002679374780465,0.47058823529411764
ASCII Entertainment,11.86,84,0.4744,0.32,19,12,11,0.893502668313796,0.4
NIS America,11.75,181,0.10585585585585586,0.06,19,15,11,2.2017533355228527,0.02702702702702703
Warner Bros. Interactive,11.48,56,0.5466666666666666,0.22,10,15,7,0.6706753995218523,0.42857142857142855
Xseed Games,11.14,123,0.1687878787878788,0.135,16,16,14,1.167501797786819,0.06060606060606061
3DO,11.040000000000001,123,0.23,0.13,11,9,12,0.9318136235314373,0.1875
Imagic,9.64,34,1.205,1.1600000000000001,3,2,5,9.080476835150357,0.75
Arena Entertainment,9.44,16,2.36,2.36,5,3,7,6.886704352604783,1
RedOctane,8.68,5,2.17,1.745,3,2,2,0.5944340633289659,0.75
Namco Bandai,8.57,240,0.13184615384615384,0.1,9,16,12,0.197853284051978,0.046153846153846156
TDK Mediactive,8.55,60,0.21923076923076923,0.14,6,7,10,0.6279186483074708,0.10256410256410256
Fox Interactive,8.25,40,0.5892857142857143,0.235,10,9,7,0.7951309987741323,0.42857142857142855
Ignition Entertainment,8.12,118,0.10024691358024691,0.07,12,15,11,0.1621961902751674,0.037037037037037035
Mindscape,8.07,163,0.19682926829268294,0.09,23,20,12,0.20136002374533393,0.07317073170731707
Parker Bros.,7.74,52,0.5953846153846154,0.54,10,10,9,3.758599063887342,0.5384615384615384
Psygnosis,7.71,98,0.19275,0.08499999999999999,11,10,10,0.7723000787784415,0.15
Global Star,7.65,39,0.19615384615384615,0.1,3,4,9,0.8256558510792534,0.10256410256410256
Coleco,7.09,39,0.6445454545454545,0.4,4,3,7,4.796596704051232,0.6363636363636364
Interplay,7.01,197,0.16690476190476192,0.09,22,17,12,0.3128277340332409,0.11904761904761904
Activision Value,6.96,59,0.24,0.16,9,11,5,0.15798069815140164,0.10344827586206896
