appid,review_count,pct_positive_review,avg_weighted_vote_score,avg_votes_up,avg_review_word_count
10,1,NA,NA,NA,0
20,1,NA,NA,NA,0
30,1,NA,NA,NA,0
40,1,NA,NA,NA,0
50,1,1,0.95,NA,0
60,1,NA,NA,NA,0
70,1,NA,NA,NA,0
80,1,NA,NA,NA,0
130,1,1,0.92,NA,0
220,1,NA,NA,NA,0
240,1,NA,NA,NA,0
300,1,NA,NA,NA,0
320,1,1,0.9,NA,0
360,1,NA,NA,NA,0
400,1,NA,NA,NA,0
440,1,NA,NA,NA,0
500,1,NA,NA,NA,0
550,1,1,0.97,NA,0
570,1,NA,NA,NA,0
620,1,NA,NA,NA,0
630,1,NA,NA,NA,0
730,1,NA,NA,NA,0
1002,1,NA,NA,NA,0
1200,1,NA,NA,NA,0
1250,1,NA,NA,NA,0
1300,1,NA,NA,NA,0
1500,1,NA,NA,NA,0
1530,1,NA,NA,NA,0
1600,1,NA,NA,NA,0
1610,1,NA,NA,NA,0
1620,1,NA,NA,NA,0
1630,1,NA,NA,NA,0
1640,1,NA,NA,NA,0
1700,1,NA,NA,NA,0
1900,1,NA,NA,NA,0
2100,1,NA,NA,NA,0
2200,1,NA,NA,NA,0
2210,1,NA,NA,NA,0
2270,1,NA,NA,NA,0
2280,1,NA,NA,NA,0
2310,1,NA,NA,NA,0
2320,1,NA,NA,NA,0
2400,1,NA,NA,NA,0
2450,1,NA,NA,NA,0
2500,1,NA,NA,NA,0
2520,1,NA,NA,NA,0
2540,1,NA,NA,NA,0
2590,1,NA,NA,NA,0
2600,1,NA,NA,NA,0
2630,1,1,0.93,NA,0
2640,1,NA,NA,NA,0
2700,1,1,0.91,NA,0
2710,1,NA,NA,NA,0
2720,1,NA,NA,NA,0
2800,1,NA,NA,NA,0
2810,1,NA,NA,NA,0
2820,1,NA,NA,NA,0
2840,1,NA,NA,NA,0
2850,1,NA,NA,NA,0
2870,1,NA,NA,NA,0
2920,1,NA,NA,NA,0
2990,1,NA,NA,NA,0
3010,1,NA,NA,NA,0
3020,1,NA,NA,NA,0
3130,1,NA,NA,NA,0
3170,1,NA,NA,NA,0
3230,1,NA,NA,NA,0
3260,1,NA,NA,NA,0
3270,1,NA,NA,NA,0
3300,1,NA,NA,NA,0
3310,1,NA,NA,NA,0
3320,1,NA,NA,NA,0
3330,1,NA,NA,NA,0
3340,1,NA,NA,NA,0
3350,1,NA,NA,NA,0
3360,1,NA,NA,NA,0
3380,1,NA,NA,NA,0
3390,1,NA,NA,NA,0
3400,1,NA,NA,NA,0
3410,1,NA,NA,NA,0
3420,1,NA,NA,NA,0
3430,1,NA,NA,NA,0
3450,1,NA,NA,NA,0
3460,1,NA,NA,NA,0
3480,1,NA,NA,NA,0
3483,1,NA,NA,NA,0
3490,1,NA,NA,NA,0
3500,1,NA,NA,NA,0
3510,1,NA,NA,NA,0
3520,1,NA,NA,NA,0
3530,1,NA,NA,NA,0
3540,1,NA,NA,NA,0
3560,1,NA,NA,NA,0
3570,1,NA,NA,NA,0
3580,1,NA,NA,NA,0
3590,1,NA,NA,NA,0
3600,1,NA,NA,NA,0
3610,1,NA,NA,NA,0
3620,1,NA,NA,NA,0
3700,1,NA,NA,NA,0
3710,1,NA,NA,NA,0
3720,1,NA,NA,NA,0
3730,1,1,0.87,NA,0
3800,1,NA,NA,NA,0
3810,1,NA,NA,NA,0
3820,1,NA,NA,NA,0
3830,1,NA,NA,NA,0
3900,1,NA,NA,NA,0
3910,1,NA,NA,NA,0
3920,1,NA,NA,NA,0
3960,1,NA,NA,NA,0
3980,1,NA,NA,NA,0
3990,1,NA,NA,NA,0
4000,1,NA,NA,NA,0
4230,1,NA,NA,NA,0
4300,1,NA,NA,NA,0
4420,1,NA,NA,NA,0
4460,1,NA,NA,NA,0
4470,1,NA,NA,NA,0
4520,1,NA,NA,NA,0
4530,1,NA,NA,NA,0
4770,1,NA,NA,NA,0
4780,1,1,0.95,NA,0
4850,1,NA,NA,NA,0
4870,1,NA,NA,NA,0
4880,1,NA,NA,NA,0
4890,1,NA,NA,NA,0
4920,1,NA,NA,NA,0
6000,1,NA,NA,NA,0
6010,1,NA,NA,NA,0
6020,1,NA,NA,NA,0
6030,1,NA,NA,NA,0
6040,1,NA,NA,NA,0
6080,1,NA,NA,NA,0
6120,1,NA,NA,NA,0
6200,1,NA,NA,NA,0
6220,1,NA,NA,NA,0
6270,1,NA,NA,NA,0
6300,1,NA,NA,NA,0
6310,1,NA,NA,NA,0
6400,1,NA,NA,NA,0
6420,1,NA,NA,NA,0
6510,1,NA,NA,NA,0
6600,1,NA,NA,NA,0
6800,1,NA,NA,NA,0
6810,1,NA,NA,NA,0
6830,1,NA,NA,NA,0
6840,1,NA,NA,NA,0
6850,1,NA,NA,NA,0
6860,1,NA,NA,NA,0
6870,1,NA,NA,NA,0
6880,1,NA,NA,NA,0
6900,1,NA,NA,NA,0
6910,1,NA,NA,NA,0
6920,1,NA,NA,NA,0
6980,1,NA,NA,NA,0
7000,1,NA,NA,NA,0
7010,1,NA,NA,NA,0
7020,1,NA,NA,NA,0
7110,1,NA,NA,NA,0
7200,1,NA,NA,NA,0
7210,1,NA,NA,NA,0
7220,1,NA,NA,NA,0
7260,1,NA,NA,NA,0
7340,1,NA,NA,NA,0
7510,1,NA,NA,NA,0
7520,1,NA,NA,NA,0
7530,1,NA,NA,NA,0
7600,1,NA,NA,NA,0
7610,1,NA,NA,NA,0
7620,1,NA,NA,NA,0
7650,1,NA,NA,NA,0
7660,1,NA,NA,NA,0
7670,1,NA,NA,NA,0
7730,1,NA,NA,NA,0
7760,1,NA,NA,NA,0
7770,1,NA,NA,NA,0
7800,1,NA,NA,NA,0
7830,1,NA,NA,NA,0
7840,1,NA,NA,NA,0
7860,1,NA,NA,NA,0
8000,1,NA,NA,NA,0
8040,1,NA,NA,NA,0
8060,1,NA,NA,NA,0
8080,1,NA,NA,NA,0
8100,1,NA,NA,NA,0
8140,1,NA,NA,NA,0
8170,1,NA,NA,NA,0
8190,1,NA,NA,NA,0
8400,1,NA,NA,NA,0
8500,1,1,0.73,NA,0
8600,1,NA,NA,NA,0
8790,1,NA,NA,NA,0
8800,1,NA,NA,NA,0
8850,1,NA,NA,NA,0
8870,1,NA,NA,NA,0
8880,1,NA,NA,NA,0
8890,1,NA,NA,NA,0
8930,1,NA,NA,NA,0
9010,1,NA,NA,NA,0
9060,1,NA,NA,NA,0
9180,1,1,0.93,NA,0
9200,1,NA,NA,NA,0
9340,1,NA,NA,NA,0
9350,1,NA,NA,NA,0
9420,1,1,0.96,NA,0
9460,1,NA,NA,NA,0
9480,1,NA,NA,NA,0
9500,1,NA,NA,NA,0
9730,1,NA,NA,NA,0
9760,1,NA,NA,NA,0
9800,1,NA,NA,NA,0
9850,1,NA,NA,NA,0
9880,1,NA,NA,NA,0
9900,1,1,0.79,NA,0
9940,1,NA,NA,NA,0
9970,1,NA,NA,NA,0
9980,1,NA,NA,NA,0
10090,1,NA,NA,NA,0
10100,1,1,0.87,NA,0
10110,1,NA,NA,NA,0
10120,1,NA,NA,NA,0
10130,1,NA,NA,NA,0
10140,1,NA,NA,NA,0
10150,1,NA,NA,NA,0
10220,1,NA,NA,NA,0
10230,1,NA,NA,NA,0
10460,1,NA,NA,NA,0
10520,1,NA,NA,NA,0
10680,1,NA,NA,NA,0
11020,1,NA,NA,NA,0
11040,1,NA,NA,NA,0
11050,1,NA,NA,NA,0
11130,1,NA,NA,NA,0
11150,1,NA,NA,NA,0
11180,1,NA,NA,NA,0
11190,1,NA,NA,NA,0
11200,1,NA,NA,NA,0
11240,1,NA,NA,NA,0
11250,1,NA,NA,NA,0
11260,1,NA,NA,NA,0
11280,1,NA,NA,NA,0
11340,1,NA,NA,NA,0
11370,1,NA,NA,NA,0
11390,1,NA,NA,NA,0
11450,1,NA,NA,NA,0
11480,1,NA,NA,NA,0
11550,1,NA,NA,NA,0
11610,1,NA,NA,NA,0
12130,1,NA,NA,NA,0
12140,1,NA,NA,NA,0
12150,1,NA,NA,NA,0
12200,1,NA,NA,NA,0
12210,1,1,0.83,NA,0
12220,1,1,0.74,NA,0
12320,1,NA,NA,NA,0
12330,1,NA,NA,NA,0
12360,1,NA,NA,NA,0
12364,1,NA,NA,NA,0
12390,1,NA,NA,NA,0
12420,1,NA,NA,NA,0
12430,1,NA,NA,NA,0
12440,1,NA,NA,NA,0
12450,1,NA,NA,NA,0
12460,1,NA,NA,NA,0
12470,1,NA,NA,NA,0
12480,1,NA,NA,NA,0
12510,1,NA,NA,NA,0
12520,1,NA,NA,NA,0
12530,1,NA,NA,NA,0
12560,1,NA,NA,NA,0
12590,1,NA,NA,NA,0
12650,1,NA,NA,NA,0
12660,1,NA,NA,NA,0
12670,1,NA,NA,NA,0
12690,1,NA,NA,NA,0
12710,1,NA,NA,NA,0
12810,1,NA,NA,NA,0
12900,1,NA,NA,NA,0
13000,1,NA,NA,NA,0
13500,1,NA,NA,NA,0
13520,1,NA,NA,NA,0
13530,1,NA,NA,NA,0
13540,1,NA,NA,NA,0
13560,1,NA,NA,NA,0
13570,1,NA,NA,NA,0
13580,1,NA,NA,NA,0
13600,1,NA,NA,NA,0
13620,1,NA,NA,NA,0
13630,1,NA,NA,NA,0
15000,1,NA,NA,NA,0
15080,1,NA,NA,NA,0
15120,1,NA,NA,NA,0
15160,1,1,0.75,NA,0
15170,1,1,0.88,NA,0
15190,1,NA,NA,NA,0
15200,1,NA,NA,NA,0
15210,1,NA,NA,NA,0
15240,1,NA,NA,NA,0
15300,1,NA,NA,NA,0
15320,1,NA,NA,NA,0
15350,1,NA,NA,NA,0
15370,1,1,0.92,NA,0
15380,1,NA,NA,NA,0
15390,1,NA,NA,NA,0
15400,1,NA,NA,NA,0
15500,1,NA,NA,NA,0
15520,1,NA,NA,NA,0
15560,1,NA,NA,NA,0
15620,1,NA,NA,NA,0
15700,1,NA,NA,NA,0
15710,1,NA,NA,NA,0
15740,1,NA,NA,NA,0
15750,1,NA,NA,NA,0
15900,1,NA,NA,NA,0
15910,1,NA,NA,NA,0
15920,1,NA,NA,NA,0
15930,1,NA,NA,NA,0
15960,1,NA,NA,NA,0
15970,1,NA,NA,NA,0
16000,1,NA,NA,NA,0
16020,1,NA,NA,NA,0
16030,1,NA,NA,NA,0
16040,1,NA,NA,NA,0
16060,1,NA,NA,NA,0
16110,1,NA,NA,NA,0
16120,1,NA,NA,NA,0
16300,1,NA,NA,NA,0
16450,1,NA,NA,NA,0
16600,1,NA,NA,NA,0
16620,1,NA,NA,NA,0
16710,1,NA,NA,NA,0
16720,1,NA,NA,NA,0
16810,1,NA,NA,NA,0
17140,1,NA,NA,NA,0
17330,1,NA,NA,NA,0
17390,1,NA,NA,NA,0
17410,1,NA,NA,NA,0
17440,1,NA,NA,NA,0
17460,1,NA,NA,NA,0
17470,1,NA,NA,NA,0
17480,1,1,0.85,NA,0
17570,1,NA,NA,NA,0
17710,1,NA,NA,NA,0
18040,1,NA,NA,NA,0
18050,1,NA,NA,NA,0
18070,1,NA,NA,NA,0
18400,1,NA,NA,NA,0
18420,1,NA,NA,NA,0
18470,1,NA,NA,NA,0
18480,1,NA,NA,NA,0
18500,1,NA,NA,NA,0
18700,1,NA,NA,NA,0
18820,1,NA,NA,NA,0
19000,1,NA,NA,NA,0
19020,1,NA,NA,NA,0
19030,1,NA,NA,NA,0
19200,1,NA,NA,NA,0
19680,1,NA,NA,NA,0
19800,1,NA,NA,NA,0
19810,1,NA,NA,NA,0
19830,1,NA,NA,NA,0
19900,1,NA,NA,NA,0
19980,1,NA,NA,NA,0
20530,1,NA,NA,NA,0
20540,1,NA,NA,NA,0
20550,1,NA,NA,NA,0
20710,1,NA,NA,NA,0
20900,1,NA,NA,NA,0
20920,1,NA,NA,NA,0
21000,1,NA,NA,NA,0
21010,1,NA,NA,NA,0
21030,1,NA,NA,NA,0
21090,1,NA,NA,NA,0
21100,1,NA,NA,NA,0
21130,1,NA,NA,NA,0
21300,1,NA,NA,NA,0
21660,1,NA,NA,NA,0
21670,1,NA,NA,NA,0
21680,1,NA,NA,NA,0
21690,1,NA,NA,NA,0
21780,1,NA,NA,NA,0
21800,1,NA,NA,NA,0
21980,1,NA,NA,NA,0
22000,1,NA,NA,NA,0
22100,1,NA,NA,NA,0
22120,1,NA,NA,NA,0
22130,1,1,0.86,NA,0
22140,1,NA,NA,NA,0
22180,1,NA,NA,NA,0
22200,1,NA,NA,NA,0
22230,1,NA,NA,NA,0
22300,1,NA,NA,NA,0
22310,1,NA,NA,NA,0
22320,1,NA,NA,NA,0
22330,1,NA,NA,NA,0
22340,1,NA,NA,NA,0
22350,1,NA,NA,NA,0
22370,1,1,0.81,NA,0
22380,1,NA,NA,NA,0
22450,1,NA,NA,NA,0
22490,1,1,0.93,NA,0
22500,1,NA,NA,NA,0
22600,1,NA,NA,NA,0
22610,1,NA,NA,NA,0
22650,1,NA,NA,NA,0
22670,1,NA,NA,NA,0
23150,1,NA,NA,NA,0
23300,1,NA,NA,NA,0
23380,1,NA,NA,NA,0
23400,1,NA,NA,NA,0
23420,1,NA,NA,NA,0
23450,1,NA,NA,NA,0
23455,1,NA,NA,NA,0
23460,1,NA,NA,NA,0
23490,1,NA,NA,NA,0
23500,1,NA,NA,NA,0
23600,1,NA,NA,NA,0
23700,1,NA,NA,NA,0
24200,1,NA,NA,NA,0
24240,1,NA,NA,NA,0
24400,1,NA,NA,NA,0
24410,1,NA,NA,NA,0
24420,1,NA,NA,NA,0
24460,1,NA,NA,NA,0
24480,1,NA,NA,NA,0
24720,1,NA,NA,NA,0
24780,1,1,0.82,NA,0
24790,1,NA,NA,NA,0
24800,1,NA,NA,NA,0
24810,1,1,0.93,NA,0
24880,1,NA,NA,NA,0
25000,1,NA,NA,NA,0
25010,1,NA,NA,NA,0
25500,1,NA,NA,NA,0
25600,1,NA,NA,NA,0
25620,1,NA,NA,NA,0
25700,1,NA,NA,NA,0
25800,1,NA,NA,NA,0
25808,1,1,0.8,NA,0
25830,1,NA,NA,NA,0
25850,1,NA,NA,NA,0
25890,1,NA,NA,NA,0
25900,1,NA,NA,NA,0
25910,1,NA,NA,NA,0
25930,1,NA,NA,NA,0
25990,1,NA,NA,NA,0
26000,1,1,0.83,NA,0
26500,1,NA,NA,NA,0
26800,1,NA,NA,NA,0
26900,1,NA,NA,NA,0
27000,1,NA,NA,NA,0
27020,1,NA,NA,NA,0
27200,1,NA,NA,NA,0
27400,1,NA,NA,NA,0
27800,1,NA,NA,NA,0
27810,1,NA,NA,NA,0
27900,1,NA,NA,NA,0
27920,1,NA,NA,NA,0
28000,1,NA,NA,NA,0
29120,1,NA,NA,NA,0
29130,1,NA,NA,NA,0
29160,1,NA,NA,NA,0
29180,1,NA,NA,NA,0
