appid,steam_name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,median_forever,price,initialprice,discount,ccu,genres,tags,languages,release_date,windows,mac,linux
271360,Industry Giant 2,"Fancy Bytes, Reactor",Toplitz Productions,NA,NA,NA,86,NA,NA,NA,9.99,9.99,0,NA,28|2,9|599|4695|12472|4328,NA,08/14/2015,TRUE,FALSE,FALSE
287450,Rise of Nations: Extended Edition,SkyBox Labs|Big Huge Games,Xbox Game Studios,NA,NA,NA,94,NA,NA,NA,19.99,19.99,67,NA,28|2,9|1676|3965|7332|4328|4161|1685|1643|5708|5851|19|4166|1693|3859|3987|14720|599|1678|1756|4182,NA,06/12/2014,TRUE,FALSE,FALSE
289070,Sid Meier's Civilization VI,Firaxis Games|Aspyr (Mac)|Aspyr (Linux),2K|Aspyr (Mac)|Aspyr (Linux),NA,NA,NA,86,NA,NA,NA,59.99,59.99,0,NA,2,9|1741|599|1708|12472|1643|3843|1669|1756|1685|1717|4166|3859|3987|4364|4182|1677|1670|4328|1678,NA,10/21/2016,TRUE,TRUE,TRUE
306130,The Elder Scrolls Online,ZeniMax Online Studios,Bethesda Softworks,NA,NA,NA,80,NA,NA,NA,19.99,19.99,0,NA,1|25|29|3,122|1754|4747|1775|6730|3854|1742|4486|4155|4057|4231|4166|1695|1684|21|3859|3834|4182|128|19,NA,NA,TRUE,TRUE,FALSE
312540,Ys VI: The Ark of Napishtim,Nihon Falcom,"XSEED Games|Marvelous USA, Inc.",NA,NA,NA,89,NA,NA,NA,19.99,19.99,0,NA,1|25|3,19|122|1693|4434|21|1756|4231|4085|4182|4026|1684,NA,04/28/2015,TRUE,FALSE,FALSE
313480,Blitzkrieg Anthology,Nival,Nival,NA,NA,NA,90,NA,NA,NA,4.99,4.99,0,NA,2,9|4150|1708|4175|4026|4166|1756|3859|9592|5851|1676|1678|4168|4182|3987|3813|1693|13276,NA,09/16/2014,TRUE,FALSE,FALSE
320970,IGT Slots Paradise Garden,Fugazo,Viva Media,NA,NA,NA,66,NA,NA,NA,19.99,19.99,0,NA,4,597|16250,NA,09/17/2014,TRUE,TRUE,FALSE
326460,ShellShock Live,kChamp Games,kChamp Games,NA,NA,NA,93,NA,NA,NA,9.99,9.99,50,NA,1|4|23|29|2,13276|3859|128|492|4305|1685|1741|4136|4182|3968|1756|5350|9|3871|19|1677|1774|597|3843|493,NA,05/22/2020,TRUE,TRUE,TRUE
338800,Seven Kingdoms 2 HD,Enlight Software Limited,Enlight Software Limited,NA,NA,NA,80,NA,NA,NA,9.99,9.99,0,NA,23|28|2,9|599|5851|6310|1684|3859|3810|4364|3813|12472|1693|6650|492|1676|8945|4695|3987|4004|4182|1670,NA,02/05/2015,TRUE,FALSE,FALSE
345260,MEDIEVAL: Total War™ - Gold Edition,CREATIVE ASSEMBLY,SEGA,NA,NA,NA,70,NA,NA,NA,9.99,9.99,80,NA,1|2,9|19|4166|1756|1708|4172|3987|1741|1693|1676|4364|4182|1677,NA,06/25/2015,TRUE,FALSE,FALSE
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,NA,NA,NA,91,NA,NA,NA,19.99,19.99,0,NA,1|25,4085|1743|1756|1695|1684|1685|3843|4166|3841|4158|10397|7481|19|3859|1688|21|1742|7368|4182|1697,NA,02/04/2016,TRUE,FALSE,FALSE
351320,DROD: The Second Sky,Caravel Games,Caravel Games,NA,NA,NA,95,NA,NA,NA,14.99,14.99,0,NA,25|23|2,9|492|21|1664,NA,11/19/2016,TRUE,TRUE,TRUE
356500,STAR WARS™ Galactic Battlegrounds Saga,Ensemble Studios,Disney|Lucasfilm|LucasArts,NA,NA,NA,91,NA,NA,NA,5.99,5.99,0,NA,1|2,9|1676|1756|1755|19|3859|4182|1693|3942|7332|3871|4161,NA,03/01/2016,TRUE,FALSE,FALSE
358930,Star Control III,Legend Entertainment,Stardock Entertainment,NA,NA,NA,62,NA,NA,NA,3.99,3.99,0,NA,1|25|23|2,3814|1775|3834|1755|3942|19|1643|21|4004|4295|3993|4182|4231|6730|4106|1697|4191|11104|18594|1742,NA,10/19/2017,TRUE,FALSE,FALSE
359420,The Journeyman Project 1: Pegasus Prime,Presto Studios,Presto Studios,NA,NA,NA,94,NA,NA,NA,9.99,9.99,0,NA,25|4|23,21|492|597|18594|1698|10679|1693,NA,02/20/2017,TRUE,FALSE,FALSE
374900,Agatha Christie - The ABC Murders,Artefacts Studio,Microids,NA,NA,NA,81,NA,NA,NA,14.99,14.99,0,NA,25,21|5613|6052|1697|3799|1698|5716|1664|3796|4182|8369|6378|1742,NA,02/04/2016,TRUE,TRUE,TRUE
409720,BioShock 2 Remastered,2K Marin|2K China|Digital Extremes|2K Australia|Blind Squirrel|Feral Interactive (Mac),2K|Feral Interactive (Mac),NA,NA,NA,71,NA,NA,NA,19.99,19.99,0,NA,1|3,1663|19|122|1777|9157|21|4342|1756|4598|9204|5708|3859|4182|1742|4166|1667|3839|1774|5030|3942,NA,09/15/2016,TRUE,TRUE,FALSE
410980,Master of Orion 2,SimTex,Wargaming Labs,NA,NA,NA,96,NA,NA,NA,5.99,5.99,0,NA,2,9|1670|1677|1755|3942|1693|1741|3859|4182|4004,NA,02/25/2016,TRUE,TRUE,TRUE
429530,Falcon 4.0,MicroProse Software,MicroProse Software,NA,NA,NA,84,NA,NA,NA,14.99,14.99,0,NA,28,599|15045|4684|4191|3993|1669|1695|3859|5230|21978|1693|1774|4168|4175|6691|19|4004|1678|4182|9,NA,01/08/2016,TRUE,FALSE,FALSE
433280,Warlords Battlecry III,Infinite Interactive,Retroism|Enlight Software Limited,NA,NA,NA,84,NA,NA,NA,9.99,9.99,0,NA,2,9|7918|1676|122|1684|1693,NA,01/22/2016,TRUE,FALSE,FALSE
433290,Nemesis of the Roman Empire,Haemimont Games,Haemimont Games,NA,NA,NA,92,NA,NA,NA,9.99,9.99,0,NA,2,9|1676,NA,01/28/2016,TRUE,FALSE,FALSE
